Msiteelement,Asiteelement,Xsiteelement,Matomporbitalradii,Matomdorbitalradii,Matomsorbitalradii,Aatomsorbitalradii,Aatomporbitalradii,Xatomsorbitalradii,Xatomporbitalradii,BBulkmodulus,GShearmodulus,EYoungsmodulus
Sc,Cd,C,0.5,0.539,1.57,0.445,1.184,0.62,0.596,73,36,92
Sc,Tl,C,0.5,0.539,1.57,1.06,1.319,0.62,0.596,84,55,135
Sc,In,C,0.5,0.539,1.57,1.093,1.382,0.62,0.596,86,54,135
Sc,Pb,C,0.5,0.539,1.57,1.01,1.215,0.62,0.596,87,58,142
Sc,Al,C,0.5,0.539,1.57,1.044,1.312,0.62,0.596,88,57,140
Sc,Ga,C,0.5,0.539,1.57,0.96,1.254,0.62,0.596,89,53,133
Sc,Cd,N,0.5,0.539,1.57,0.445,1.184,0.521,0.4875,92,40,106
Sc,Sn,C,0.5,0.539,1.57,1.027,1.24,0.62,0.596,93,63,154
Sc,Pb,N,0.5,0.539,1.57,1.01,1.215,0.521,0.4875,101,67,165
Sc,In,N,0.5,0.539,1.57,1.093,1.382,0.521,0.4875,102,68,167
Sc,Tl,N,0.5,0.539,1.57,1.06,1.319,0.521,0.4875,102,65,162
Sc,Ge,C,0.5,0.539,1.57,0.886,1.09,0.62,0.596,103,72,175
Zr,Cd,C,0.613,0.79,1.593,0.445,1.184,0.62,0.596,105,46,121
Sc,Si,C,0.5,0.539,1.57,0.904,1.068,0.62,0.596,106,76,184
Sc,Al,N,0.5,0.539,1.57,1.044,1.312,0.521,0.4875,107,77,187
Sc,Ga,N,0.5,0.539,1.57,0.96,1.254,0.521,0.4875,110,75,183
Sc,Sn,N,0.5,0.539,1.57,1.027,1.24,0.521,0.4875,110,75,184
Nb,Tl,N,0.586,0.747,1.589,1.06,1.319,0.521,0.4875,112,43,115
Sc,As,C,0.5,0.539,1.57,0.826,0.9915,0.62,0.596,113,66,165
Cr,Tl,C,0.416,0.4265,1.453,1.06,1.319,0.62,0.596,113,70,173
Ti,Cd,C,0.468,0.489,1.477,0.445,1.184,0.62,0.596,116,67,168
Zr,Pb,C,0.613,0.79,1.593,1.01,1.215,0.62,0.596,117,71,177
Zr,Tl,C,0.613,0.79,1.593,1.06,1.319,0.62,0.596,117,78,191
Hf,Cd,C,0.617,0.829,1.476,0.445,1.184,0.62,0.596,119,69,174
Zr,In,C,0.613,0.79,1.593,1.093,1.382,0.62,0.596,119,84,204
Ti,Pb,C,0.468,0.489,1.477,1.01,1.215,0.62,0.596,119,73,182
V,Tl,C,0.439,0.449,1.401,1.06,1.319,0.62,0.596,119,69,173
V,Cd,C,0.439,0.449,1.401,0.445,1.184,0.62,0.596,120,84,203
Sc,P,C,0.5,0.539,1.57,0.803,0.9175,0.62,0.596,121,70,175
Zr,Cd,N,0.613,0.79,1.593,0.445,1.184,0.521,0.4875,121,70,175
Ti,Pb,N,0.468,0.489,1.477,1.01,1.215,0.521,0.4875,121,68,173
Sc,Ge,N,0.5,0.539,1.57,0.886,1.09,0.521,0.4875,122,84,204
V,Pb,N,0.439,0.449,1.401,1.01,1.215,0.521,0.4875,122,39,105
Cr,Pb,N,0.416,0.4265,1.453,1.01,1.215,0.521,0.4875,122,39,105
V,Pb,C,0.439,0.449,1.401,1.01,1.215,0.62,0.596,123,63,161
Zr,Al,C,0.613,0.79,1.593,1.044,1.312,0.62,0.596,125,92,221
Ti,Tl,C,0.468,0.489,1.477,1.06,1.319,0.62,0.596,125,91,219
W,Pb,N,0.582,0.746,1.36,1.01,1.215,0.521,0.4875,125,47,124
Hf,Pb,C,0.617,0.829,1.476,1.01,1.215,0.62,0.596,126,77,191
Sc,S,C,0.5,0.539,1.57,0.723,0.808,0.62,0.596,126,91,221
Cr,In,C,0.416,0.4265,1.453,1.093,1.382,0.62,0.596,127,64,163
Zr,Pb,N,0.613,0.79,1.593,1.01,1.215,0.521,0.4875,127,61,157
Zr,Ga,C,0.613,0.79,1.593,0.96,1.254,0.62,0.596,128,88,214
Ti,In,C,0.468,0.489,1.477,1.093,1.382,0.62,0.596,128,98,234
Nb,Pb,N,0.586,0.747,1.589,1.01,1.215,0.521,0.4875,128,30,84
Sc,Si,N,0.5,0.539,1.57,0.904,1.068,0.521,0.4875,128,89,218
Zr,Sn,C,0.613,0.79,1.593,1.027,1.24,0.62,0.596,129,80,199
Hf,Tl,C,0.617,0.829,1.476,1.06,1.319,0.62,0.596,129,86,212
Ti,Tl,N,0.468,0.489,1.477,1.06,1.319,0.521,0.4875,129,81,200
Zr,Tl,N,0.613,0.79,1.593,1.06,1.319,0.521,0.4875,129,69,176
Ti,Cd,N,0.468,0.489,1.477,0.445,1.184,0.521,0.4875,130,84,208
Ta,Pb,N,0.599,0.784,1.413,1.01,1.215,0.521,0.4875,130,16,46
Hf,In,C,0.617,0.829,1.476,1.093,1.382,0.62,0.596,131,95,230
Sc,As,N,0.5,0.539,1.57,0.826,0.9915,0.521,0.4875,131,57,148
Cr,Pb,C,0.416,0.4265,1.453,1.01,1.215,0.62,0.596,133,51,136
Zr,In,N,0.613,0.79,1.593,1.093,1.382,0.521,0.4875,134,81,202
Hf,Pb,N,0.617,0.829,1.476,1.01,1.215,0.521,0.4875,134,60,157
Ta,Pb,C,0.599,0.784,1.413,1.01,1.215,0.62,0.596,135,63,163
Ti,Sn,C,0.468,0.489,1.477,1.027,1.24,0.62,0.596,135,93,226
Hf,Cd,N,0.617,0.829,1.476,0.445,1.184,0.521,0.4875,136,79,198
Ti,Sn,N,0.468,0.489,1.477,1.027,1.24,0.521,0.4875,136,79,198
Mo,Tl,N,0.56,0.699,1.52,1.06,1.319,0.521,0.4875,136,58,153
Ta,Tl,N,0.599,0.784,1.413,1.06,1.319,0.521,0.4875,136,43,116
Sc,P,N,0.5,0.539,1.57,0.803,0.9175,0.521,0.4875,137,80,200
Ti,Al,C,0.468,0.489,1.477,1.044,1.312,0.62,0.596,138,113,267
Hf,Al,C,0.617,0.829,1.476,1.044,1.312,0.62,0.596,138,105,252
V,Sn,C,0.439,0.449,1.401,1.027,1.24,0.62,0.596,138,75,189
Ti,In,N,0.468,0.489,1.477,1.093,1.382,0.521,0.4875,138,83,208
Ti,Ga,C,0.468,0.489,1.477,0.96,1.254,0.62,0.596,139,109,260
Hf,Sn,C,0.617,0.829,1.476,1.027,1.24,0.62,0.596,139,84,210
Cr,Cd,N,0.416,0.4265,1.453,0.445,1.184,0.521,0.4875,139,74,189
Zr,Sn,N,0.613,0.79,1.593,1.027,1.24,0.521,0.4875,140,70,181
V,Tl,N,0.439,0.449,1.401,1.06,1.319,0.521,0.4875,140,56,148
Hf,Ga,C,0.617,0.829,1.476,0.96,1.254,0.62,0.596,141,101,244
Zr,Al,N,0.613,0.79,1.593,1.044,1.312,0.521,0.4875,141,94,231
Mo,Pb,N,0.56,0.699,1.52,1.01,1.215,0.521,0.4875,141,52,138
Sc,S,N,0.5,0.539,1.57,0.723,0.808,0.521,0.4875,141,101,244
Nb,Pb,C,0.586,0.747,1.589,1.01,1.215,0.62,0.596,142,69,177
Hf,Tl,N,0.617,0.829,1.476,1.06,1.319,0.521,0.4875,142,78,197
V,Sn,N,0.439,0.449,1.401,1.027,1.24,0.521,0.4875,143,43,117
Zr,Ga,N,0.613,0.79,1.593,0.96,1.254,0.521,0.4875,145,90,224
W,Tl,N,0.582,0.746,1.36,1.06,1.319,0.521,0.4875,145,56,149
Zr,Ge,C,0.613,0.79,1.593,0.886,1.09,0.62,0.596,146,87,218
Cr,Tl,N,0.416,0.4265,1.453,1.06,1.319,0.521,0.4875,146,62,163
Hf,In,N,0.617,0.829,1.476,1.093,1.382,0.521,0.4875,147,91,227
Nb,Cd,C,0.586,0.747,1.589,0.445,1.184,0.62,0.596,148,87,217
Nb,Tl,C,0.586,0.747,1.589,1.06,1.319,0.62,0.596,149,80,204
Ti,Ge,C,0.468,0.489,1.477,0.886,1.09,0.62,0.596,152,106,257
Zr,Si,C,0.613,0.79,1.593,0.904,1.068,0.62,0.596,152,97,240
Nb,Cd,N,0.586,0.747,1.589,0.445,1.184,0.521,0.4875,152,79,202
Hf,Sn,N,0.617,0.829,1.476,1.027,1.24,0.521,0.4875,152,76,196
V,In,N,0.439,0.449,1.401,1.093,1.382,0.521,0.4875,154,80,204
Hf,Ge,C,0.617,0.829,1.476,0.886,1.09,0.62,0.596,155,96,238
Ti,Al,N,0.468,0.489,1.477,1.044,1.312,0.521,0.4875,155,118,281
Cr,Sn,C,0.416,0.4265,1.453,1.027,1.24,0.62,0.596,156,60,160
